Epoch,Split,Layer,Group,SubID,Loss
0,Val,ClassifyLayer_1,building,3,0.83227
0,Val,ClassifyLayer_1,building,4,0.15313
0,Val,ClassifyLayer_1,building,5,0.00761
0,Val,ClassifyLayer_1,building,6,0.62196
0,Val,ClassifyLayer_1,building,7,0.73483
0,Val,ClassifyLayer_1,building,MEAN,0.60017
0,Val,ClassifyLayer_1,greenery,0,0.58845
0,Val,ClassifyLayer_1,greenery,1,0.57303
0,Val,ClassifyLayer_1,greenery,2,0.77739
0,Val,ClassifyLayer_1,greenery,3,0.89712
0,Val,ClassifyLayer_1,greenery,4,0.90207
0,Val,ClassifyLayer_1,greenery,5,0.7006
0,Val,ClassifyLayer_1,greenery,6,0.21242
0,Val,ClassifyLayer_1,greenery,MEAN,0.66444
0,Val,ClassifyLayer_1,infrastructure,0,0.23199
0,Val,ClassifyLayer_1,infrastructure,1,2.02875
0,Val,ClassifyLayer_1,infrastructure,2,0.59234
0,Val,ClassifyLayer_1,infrastructure,3,0.08689
0,Val,ClassifyLayer_1,infrastructure,4,0.33751
0,Val,ClassifyLayer_1,infrastructure,5,0.47115
0,Val,ClassifyLayer_1,infrastructure,6,0.36919
0,Val,ClassifyLayer_1,infrastructure,7,0.76388
0,Val,ClassifyLayer_1,infrastructure,MEAN,0.61021
0,Val,ClassifyLayer_1,road,0,0.91678
0,Val,ClassifyLayer_1,road,1,1.43945
0,Val,ClassifyLayer_1,road,2,0.67453
0,Val,ClassifyLayer_1,road,3,0.40161
0,Val,ClassifyLayer_1,road,4,1.35475
0,Val,ClassifyLayer_1,road,5,0.47026
0,Val,ClassifyLayer_1,road,6,0.55333
0,Val,ClassifyLayer_1,road,7,0.48419
0,Val,ClassifyLayer_1,road,MEAN,0.78686
0,Val,TOTAL,ALL,SUM,20.62907
1,Train,AVG_ALL,building,0,0.66482
1,Train,AVG_ALL,building,1,0.4403
1,Train,AVG_ALL,building,2,0.59554
1,Train,AVG_ALL,building,3,0.70548
1,Train,AVG_ALL,building,4,0.09537
1,Train,AVG_ALL,building,5,0.10076
1,Train,AVG_ALL,building,6,0.60528
1,Train,AVG_ALL,building,7,0.60536
1,Train,AVG_ALL,building,MEAN,0.47661
1,Train,AVG_ALL,greenery,0,0.56814
1,Train,AVG_ALL,greenery,1,0.4667
1,Train,AVG_ALL,greenery,2,0.84629
1,Train,AVG_ALL,greenery,3,0.86883
1,Train,AVG_ALL,greenery,4,0.8952
1,Train,AVG_ALL,greenery,5,0.57871
1,Train,AVG_ALL,greenery,6,0.00148
1,Train,AVG_ALL,greenery,MEAN,0.60362
1,Train,AVG_ALL,infrastructure,0,0.22525
1,Train,AVG_ALL,infrastructure,1,1.78471
1,Train,AVG_ALL,infrastructure,2,0.61126
1,Train,AVG_ALL,infrastructure,3,0.11336
1,Train,AVG_ALL,infrastructure,4,0.29996
1,Train,AVG_ALL,infrastructure,5,0.60792
1,Train,AVG_ALL,infrastructure,6,0.17232
1,Train,AVG_ALL,infrastructure,7,0.77318
1,Train,AVG_ALL,infrastructure,MEAN,0.57349
1,Train,AVG_ALL,road,0,0.75271
1,Train,AVG_ALL,road,1,1.49263
1,Train,AVG_ALL,road,2,0.66658
1,Train,AVG_ALL,road,3,0.43813
1,Train,AVG_ALL,road,4,1.42065
1,Train,AVG_ALL,road,5,0.49145
1,Train,AVG_ALL,road,6,0.61959
1,Train,AVG_ALL,road,7,0.51709
1,Train,AVG_ALL,road,MEAN,0.79985
1,Train,ClassifyLayer_1,ALL,SUM,19.02502
1,Train,ClassifyLayer_1,building,0,0.66482
1,Train,ClassifyLayer_1,building,1,0.4403
1,Train,ClassifyLayer_1,building,2,0.59554
1,Train,ClassifyLayer_1,building,3,0.70548
1,Train,ClassifyLayer_1,building,4,0.09537
1,Train,ClassifyLayer_1,building,5,0.10076
1,Train,ClassifyLayer_1,building,6,0.60528
1,Train,ClassifyLayer_1,building,7,0.60536
1,Train,ClassifyLayer_1,building,MEAN,0.47661
1,Train,ClassifyLayer_1,greenery,0,0.56814
1,Train,ClassifyLayer_1,greenery,1,0.4667
1,Train,ClassifyLayer_1,greenery,2,0.84629
1,Train,ClassifyLayer_1,greenery,3,0.86883
1,Train,ClassifyLayer_1,greenery,4,0.8952
1,Train,ClassifyLayer_1,greenery,5,0.57871
1,Train,ClassifyLayer_1,greenery,6,0.00148
1,Train,ClassifyLayer_1,greenery,MEAN,0.60362
1,Train,ClassifyLayer_1,infrastructure,0,0.22525
1,Train,ClassifyLayer_1,infrastructure,1,1.78471
1,Train,ClassifyLayer_1,infrastructure,2,0.61126
1,Train,ClassifyLayer_1,infrastructure,3,0.11336
1,Train,ClassifyLayer_1,infrastructure,4,0.29996
1,Train,ClassifyLayer_1,infrastructure,5,0.60792
1,Train,ClassifyLayer_1,infrastructure,6,0.17232
1,Train,ClassifyLayer_1,infrastructure,7,0.77318
1,Train,ClassifyLayer_1,infrastructure,MEAN,0.57349
1,Train,ClassifyLayer_1,road,0,0.75271
1,Train,ClassifyLayer_1,road,1,1.49263
1,Train,ClassifyLayer_1,road,2,0.66658
1,Train,ClassifyLayer_1,road,3,0.43813
1,Train,ClassifyLayer_1,road,4,1.42065
1,Train,ClassifyLayer_1,road,5,0.49145
1,Train,ClassifyLayer_1,road,6,0.61959
1,Train,ClassifyLayer_1,road,7,0.51709
1,Train,ClassifyLayer_1,road,MEAN,0.79985
1,Train,TOTAL,ALL,SUM,19.02502
1,Val,AVG_ALL,building,0,0.76939
1,Val,AVG_ALL,building,1,0.58196
1,Val,AVG_ALL,building,2,0.68402
1,Val,AVG_ALL,building,3,0.67732
1,Val,AVG_ALL,building,4,0.15947
1,Val,AVG_ALL,building,5,0.00835
1,Val,AVG_ALL,building,6,0.62503
1,Val,AVG_ALL,building,7,0.78075
1,Val,AVG_ALL,building,MEAN,0.53579
1,Val,AVG_ALL,greenery,0,0.59804
1,Val,AVG_ALL,greenery,1,0.5403
1,Val,AVG_ALL,greenery,2,0.74856
1,Val,AVG_ALL,greenery,3,0.87805
1,Val,AVG_ALL,greenery,4,0.87617
1,Val,AVG_ALL,greenery,5,0.67064
1,Val,AVG_ALL,greenery,6,0.23708
1,Val,AVG_ALL,greenery,MEAN,0.64983
1,Val,AVG_ALL,infrastructure,0,0.20379
1,Val,AVG_ALL,infrastructure,1,2.10685
1,Val,AVG_ALL,infrastructure,2,0.58905
1,Val,AVG_ALL,infrastructure,3,0.08717
1,Val,AVG_ALL,infrastructure,4,0.33268
1,Val,AVG_ALL,infrastructure,5,0.45643
1,Val,AVG_ALL,infrastructure,6,0.33326
1,Val,AVG_ALL,infrastructure,7,0.81819
1,Val,AVG_ALL,infrastructure,MEAN,0.61593
1,Val,AVG_ALL,road,0,0.91316
1,Val,AVG_ALL,road,1,1.43233
1,Val,AVG_ALL,road,2,0.66895
1,Val,AVG_ALL,road,3,0.46977
1,Val,AVG_ALL,road,4,1.35569
1,Val,AVG_ALL,road,5,0.474
1,Val,AVG_ALL,road,6,0.45502
1,Val,AVG_ALL,road,7,0.48971
1,Val,AVG_ALL,road,MEAN,0.78233
1,Val,ClassifyLayer_1,ALL,SUM,20.0212
1,Val,ClassifyLayer_1,building,0,0.76939
1,Val,ClassifyLayer_1,building,1,0.58196
1,Val,ClassifyLayer_1,building,2,0.68402
1,Val,ClassifyLayer_1,building,3,0.67732
1,Val,ClassifyLayer_1,building,4,0.15947
1,Val,ClassifyLayer_1,building,5,0.00835
1,Val,ClassifyLayer_1,building,6,0.62503
1,Val,ClassifyLayer_1,building,7,0.78075
1,Val,ClassifyLayer_1,building,MEAN,0.53579
1,Val,ClassifyLayer_1,greenery,0,0.59804
1,Val,ClassifyLayer_1,greenery,1,0.5403
1,Val,ClassifyLayer_1,greenery,2,0.74856
1,Val,ClassifyLayer_1,greenery,3,0.87805
1,Val,ClassifyLayer_1,greenery,4,0.87617
1,Val,ClassifyLayer_1,greenery,5,0.67064
1,Val,ClassifyLayer_1,greenery,6,0.23708
1,Val,ClassifyLayer_1,greenery,MEAN,0.64983
1,Val,ClassifyLayer_1,infrastructure,0,0.20379
1,Val,ClassifyLayer_1,infrastructure,1,2.10685
1,Val,ClassifyLayer_1,infrastructure,2,0.58905
1,Val,ClassifyLayer_1,infrastructure,3,0.08717
1,Val,ClassifyLayer_1,infrastructure,4,0.33268
1,Val,ClassifyLayer_1,infrastructure,5,0.45643
1,Val,ClassifyLayer_1,infrastructure,6,0.33326
1,Val,ClassifyLayer_1,infrastructure,7,0.81819
1,Val,ClassifyLayer_1,infrastructure,MEAN,0.61593
1,Val,ClassifyLayer_1,road,0,0.91316
1,Val,ClassifyLayer_1,road,1,1.43233
1,Val,ClassifyLayer_1,road,2,0.66895
1,Val,ClassifyLayer_1,road,3,0.46977
1,Val,ClassifyLayer_1,road,4,1.35569
1,Val,ClassifyLayer_1,road,5,0.474
1,Val,ClassifyLayer_1,road,6,0.45502
1,Val,ClassifyLayer_1,road,7,0.48971
1,Val,ClassifyLayer_1,road,MEAN,0.78233
1,Val,TOTAL,ALL,SUM,20.0212
2,Train,AVG_ALL,building,0,0.65467
2,Train,AVG_ALL,building,1,0.44689
2,Train,AVG_ALL,building,2,0.57889
2,Train,AVG_ALL,building,3,0.71566
2,Train,AVG_ALL,building,4,0.09406
2,Train,AVG_ALL,building,5,0.09323
2,Train,AVG_ALL,building,6,0.5897
2,Train,AVG_ALL,building,7,0.59507
2,Train,AVG_ALL,building,MEAN,0.47102
2,Train,AVG_ALL,greenery,0,0.57016
2,Train,AVG_ALL,greenery,1,0.47167
2,Train,AVG_ALL,greenery,2,0.83786
2,Train,AVG_ALL,greenery,3,0.86244
2,Train,AVG_ALL,greenery,4,0.88734
2,Train,AVG_ALL,greenery,5,0.57843
2,Train,AVG_ALL,greenery,6,0.00081
2,Train,AVG_ALL,greenery,MEAN,0.60125
2,Train,AVG_ALL,infrastructure,0,0.23334
2,Train,AVG_ALL,infrastructure,1,1.8763
