Epoch,Split,Layer,Group,SubID,Accuracy,Precision,Recall,F1,AP
0,Train,AVG_ALL,road,0,0.6947,0.28,0.1207,0.1687,0.2598
0,Train,AVG_ALL,road,1,0.8628,0.0,0.0,0.0,0.0844
0,Train,AVG_ALL,road,2,0.6372,0.3529,0.0779,0.1277,0.3514
0,Train,AVG_ALL,road,3,0.8496,0.0,0.0,0.0,0.1629
0,Train,AVG_ALL,road,4,0.3761,0.3155,0.8194,0.4556,0.3635
0,Train,AVG_ALL,road,5,0.8009,0.2,0.0238,0.0426,0.1982
0,Train,AVG_ALL,road,6,0.6947,0.1667,0.0154,0.0282,0.2728
0,Train,AVG_ALL,road,7,0.8982,0.0,0.0,0.0,0.0881
0,Train,AVG_ALL,road,MEAN,0.726775,0.1643875,0.13215,0.10285,0.2226375
0,Val,ClassifyLayer_1,building,0,0.5263,0.0,0.0,0.0,0.4187
0,Val,ClassifyLayer_1,building,1,0.7895,0.0,0.0,0.0,0.2105
0,Val,ClassifyLayer_1,building,2,0.3333,0.3333,1.0,0.5,0.4377
0,Val,ClassifyLayer_1,building,3,0.386,0.386,1.0,0.557,0.3612
0,Val,ClassifyLayer_1,building,4,0.9649,0.0,0.0,0.0,0.0351
0,Val,ClassifyLayer_1,building,5,1.0,0.0,0.0,0.0,0.0
0,Val,ClassifyLayer_1,building,6,0.7018,0.0,0.0,0.0,0.2982
0,Val,ClassifyLayer_1,building,7,0.5614,0.0,0.0,0.0,0.4386
0,Val,ClassifyLayer_1,building,MEAN,0.6579,0.0899125,0.25,0.132125,0.275
0,Val,ClassifyLayer_1,greenery,0,0.8772,0.0,0.0,0.0,0.1345
0,Val,ClassifyLayer_1,greenery,1,0.8947,0.0,0.0,0.0,0.0957
0,Val,ClassifyLayer_1,greenery,2,0.807,0.0,0.0,0.0,0.1857
0,Val,ClassifyLayer_1,greenery,3,0.7368,0.0,0.0,0.0,0.2632
0,Val,ClassifyLayer_1,greenery,4,0.6667,0.6667,1.0,0.8,0.6667
0,Val,ClassifyLayer_1,greenery,5,0.8596,0.0,0.0,0.0,0.1404
0,Val,ClassifyLayer_1,greenery,6,0.9825,0.0,0.0,0.0,0.0175
0,Val,ClassifyLayer_1,greenery,MEAN,0.8320714285714287,0.09524285714285714,0.14285714285714285,0.1142857142857143,0.21481428571428568
0,Val,ClassifyLayer_1,infrastructure,0,0.9474,0.0,0.0,0.0,0.0526
0,Val,ClassifyLayer_1,infrastructure,1,0.2632,0.2632,1.0,0.4167,0.2915
0,Val,ClassifyLayer_1,infrastructure,2,0.7193,0.0,0.0,0.0,0.3706
0,Val,ClassifyLayer_1,infrastructure,3,0.9825,0.0,0.0,0.0,0.0385
0,Val,ClassifyLayer_1,infrastructure,4,0.8947,0.0,0.0,0.0,0.1053
0,Val,ClassifyLayer_1,infrastructure,5,0.8421,0.0,0.0,0.0,0.1579
0,Val,ClassifyLayer_1,infrastructure,6,0.8947,0.0,0.0,0.0,0.1053
0,Val,ClassifyLayer_1,infrastructure,7,0.9649,0.0,0.0,0.0,0.0351
0,Val,ClassifyLayer_1,infrastructure,MEAN,0.8136,0.0329,0.125,0.0520875,0.1446
0,Val,ClassifyLayer_1,road,0,0.6316,0.0,0.0,0.0,0.3657
0,Val,ClassifyLayer_1,road,1,0.1228,0.1228,1.0,0.2188,0.2094
0,Val,ClassifyLayer_1,road,2,0.6316,0.0,0.0,0.0,0.4117
0,Val,ClassifyLayer_1,road,3,0.8596,0.0,0.0,0.0,0.2614
0,Val,ClassifyLayer_1,road,4,0.2632,0.2632,1.0,0.4167,0.2842
0,Val,ClassifyLayer_1,road,5,0.8246,0.0,0.0,0.0,0.2507
0,Val,ClassifyLayer_1,road,6,0.8421,0.0,0.0,0.0,0.2768
0,Val,ClassifyLayer_1,road,7,0.9123,0.0,0.0,0.0,0.0877
0,Val,ClassifyLayer_1,road,MEAN,0.635975,0.04825,0.25,0.0794375,0.26845
0,Val,AVG_ALL,building,0,0.5263,0.0,0.0,0.0,0.4187
0,Val,AVG_ALL,building,1,0.7895,0.0,0.0,0.0,0.2105
0,Val,AVG_ALL,building,2,0.3333,0.3333,1.0,0.5,0.4377
0,Val,AVG_ALL,building,3,0.386,0.386,1.0,0.557,0.3612
0,Val,AVG_ALL,building,4,0.9649,0.0,0.0,0.0,0.0351
0,Val,AVG_ALL,building,5,1.0,0.0,0.0,0.0,0.0
0,Val,AVG_ALL,building,6,0.7018,0.0,0.0,0.0,0.2982
0,Val,AVG_ALL,building,7,0.5614,0.0,0.0,0.0,0.4386
